"P.T. LEE CNCET - EXAMINATION PATTERNS, ASSESSMENT SPLIT & ANNA UNIVERSITY GRADING",,,,,,
"Continuous Internal Assessment (CIA), End-Semester Exams (ESE) & 10-Point Absolute Grading Scale",,,,,,
,,,,,,
TABLE 1: CONTINUOUS INTERNAL ASSESSMENT (CIA) & END-SEMESTER EXAM (ESE) SPLIT,,,,,,
,,,,,,
Assessment Category,Course Type,Internal Assessment (CIA %),Internal Evaluation Breakdown,End Semester Exam (ESE %),Exam Duration,Passing Criteria
Theory Courses,Theory (Pure Lecture),40% (40 Marks),"Internal Assessment Tests I & II (20%), Model Exam (10%), Assignments/Quizzes/Tutorials (10%)",60% (100 Marks scaled to 60),3 Hours,Min 45% in End-Sem Exam AND Min 50% in Total (CIA+ESE)
Laboratory Courses,Practical / Lab,60% (60 Marks),"Continuous lab experiment performance & observation (30%), Model Practical Exam (20%), Record Note submission (10%)",40% (100 Marks scaled to 40),3 Hours,Min 45% in Practical Exam AND Min 50% in Total
Theory with Lab (Embedded),Blended / Integrated,50% (50 Marks),Theory Assessment Tests (25%) + Practical Continuous Lab Evaluation (25%),50% (100 Marks scaled to 50),3 Hours,Min 45% in ESE AND Min 50% Overall
Employability / Value Added,Value-Added Certification,100% Internal,"Continuous mini-tasks, coding benchmarks, mock interview rounds, and live project submission",0% (No University Exam),Continuous,Min 50% in Internal Assessment
Project Work Phase-I (Sem 7),Project Work,60% (60 Marks),"Three review presentations before Department Project Committee (Zeroth, 1st, and 2nd Review)",40% (40 Marks),Viva-Voce,Min 50% in Aggregate
Project Work Phase-II (Sem 8),Final Capstone Project,60% (60 Marks),Three review presentations (Project Committee) + Dissertation Report,40% (40 Marks),External Viva-Voce,Min 50% in Aggregate
,,,,,,
,,,,,,
TABLE 2: ANNA UNIVERSITY 10-POINT LETTER GRADING SYSTEM,,,,,,
,,,,,,
Marks Range (%),Letter Grade,Grade Point (GP),Performance Level,Classification Impact / Academic Standing,Result Status,
91 – 100,O,10,Outstanding,First Class with Distinction (if cleared in 1st attempt),PASS,
81 – 90,A+,9,Excellent,First Class with Distinction (if cleared in 1st attempt),PASS,
71 – 80,A,8,Very Good,First Class,PASS,
61 – 70,B+,7,Good,First Class,PASS,
50 – 60,B,6,Average,Second Class,PASS,
< 50 (or <45% in ESE),RA,0,Re-Appearance Required,Arrear in Subject; Must appear in supplementary exam,FAIL / REAPPEAR,
Shortage of Attendance (<65%),SA,0,Shortage of Attendance,Course / Semester Detention; Must re-register course,DETAINED,
Absent in End-Sem Exam,AB,0,Absent,Arrear in Subject; Must appear in next exam cycle,ABSENT / REAPPEAR,
Withdrawal from Exam,W,0,Withdrawal,Authorized exam withdrawal on medical/valid grounds,WITHDRAWN,
